ID SPK,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,RFM_Level
275,350,1,5300000,2,4,1,241,7,Loyal
276,350,1,1706400,2,4,4,244,10,Cannot Loose Them
277,350,1,2675000,2,4,3,243,9,Cannot Loose Them
278,350,1,6150000,2,4,1,241,7,Loyal
279,350,1,5215000,2,4,1,241,7,Loyal
280,350,1,2635000,2,4,3,243,9,Cannot Loose Them
281,350,1,4960000,2,4,1,241,7,Loyal
282,350,1,1615995,2,4,4,244,10,Cannot Loose Them
283,19485,1,1627002,4,4,4,444,12,Cannot Loose Them
284,350,1,14710000,2,4,1,241,7,Loyal
285,350,1,3572800,2,4,2,242,8,Loyal
286,350,1,5730000,2,4,1,241,7,Loyal
287,350,1,2065000,2,4,3,243,9,Cannot Loose Them
288,350,1,3450000,2,4,2,242,8,Loyal
289,350,1,8750000,2,4,1,241,7,Loyal
290,350,1,2049003,2,4,3,243,9,Cannot Loose Them
291,350,1,3120000,2,4,2,242,8,Loyal
292,350,1,5247011,2,4,1,241,7,Loyal
293,350,1,2370006,2,4,3,243,9,Cannot Loose Them
294,350,1,3476000,2,4,2,242,8,Loyal
295,350,1,2559006,2,4,3,243,9,Cannot Loose Them
296,350,1,1476298,2,4,4,244,10,Cannot Loose Them
297,350,1,15340000,2,4,1,241,7,Loyal
298,350,1,3697050,2,4,2,242,8,Loyal
299,350,1,1664000,2,4,4,244,10,Cannot Loose Them
300,350,1,4344000,2,4,2,242,8,Loyal
301,350,1,1970000,2,4,4,244,10,Cannot Loose Them
302,350,1,1722000,2,4,4,244,10,Cannot Loose Them
303,350,1,1561000,2,4,4,244,10,Cannot Loose Them
304,350,1,2090988,2,4,3,243,9,Cannot Loose Them
305,350,1,1722000,2,4,4,244,10,Cannot Loose Them
306,350,1,4189500,2,4,2,242,8,Loyal
307,350,1,3850000,2,4,2,242,8,Loyal
308,350,1,1900000,2,4,4,244,10,Cannot Loose Them
309,350,1,5400000,2,4,1,241,7,Loyal
310,350,1,2700000,2,4,3,243,9,Cannot Loose Them
311,350,1,3955000,2,4,2,242,8,Loyal
312,350,1,2585000,2,4,3,243,9,Cannot Loose Them
313,350,1,7500000,2,4,1,241,7,Loyal
314,350,1,2250000,2,4,3,243,9,Cannot Loose Them
315,350,1,3000000,2,4,3,243,9,Cannot Loose Them
316,350,1,5051200,2,4,1,241,7,Loyal
317,350,1,11000000,2,4,1,241,7,Loyal
318,350,1,1933002,2,4,4,244,10,Cannot Loose Them
319,350,1,800000,2,4,4,244,10,Cannot Loose Them
